;C_i;Xbase_i;x1;x2;x3;x4;x5;bi
0;;;5;2;;;;
1;0.0;3.0;7;3;1.0;0.0;0.0;1533.0
2;0.0;4.0;9;2;0.0;1.0;0.0;1044.0
3;0.0;5.0;7;1;0.0;0.0;1.0;371.0
;C_i;Xbase_i;x1;x2;x3;x4;x5;bi
0;;;5;2;;;;
1;0.0;3.0;7;3;1.0;0.0;0.0;1533.0
2;0.0;4.0;9;2;0.0;1.0;0.0;1044.0
3;0.0;5.0;7;1;0.0;0.0;1.0;371.0
;C_i;Xbase_i;x1;x2;x3;x4;x5;bi
0;;;5;2;;;;
1;0.0;3.0;7;3;1.0;0.0;0.0;1533.0
2;0.0;4.0;9;2;0.0;1.0;0.0;1044.0
3;0.0;5.0;7;1;0.0;0.0;1.0;371.0
;C_i;Xbase_i;x1;x2;x3;x4;x5;bi
0;;;5;2;;;;
1;0.0;3.0;7;3;1.0;0.0;0.0;1533.0
2;0.0;4.0;9;2;0.0;1.0;0.0;1044.0
3;0.0;5.0;7;1;0.0;0.0;1.0;371.0
;C_i;Xbase_i;x1;x2;x3;x4;x5;bi
0;;;5;2;;;;
1;0.0;3.0;7;3;1.0;0.0;0.0;1533.0
2;0.0;4.0;9;2;0.0;1.0;0.0;1044.0
3;0.0;5.0;7;1;0.0;0.0;1.0;371.0
;C_i;Xbase_i;x1;x2;x3;x4;x5;bi
0;;;5;2;0.0;0.0;0.0;
1;0.0;3.0;7;3;1.0;0.0;0.0;1533.0
2;0.0;4.0;9;2;0.0;1.0;0.0;1044.0
3;0.0;5.0;7;1;0.0;0.0;1.0;371.0
;C_i;Xbase_i;x1;x2;x3;x4;x5;bi
0;;;5;2;0.0;0.0;0.0;
1;0.0;3.0;7;3;1.0;0.0;0.0;1533.0
2;0.0;4.0;9;2;0.0;1.0;0.0;1044.0
3;0.0;5.0;7;1;0.0;0.0;1.0;371.0
;C_i;Xbase_i;x1;x2;x3;x4;x5;bi
0;;;5;2;0.0;0.0;0.0;
1;0.0;3.0;7;3;1.0;0.0;0.0;1533.0
2;0.0;4.0;9;2;0.0;1.0;0.0;1044.0
3;0.0;5.0;7;1;0.0;0.0;1.0;371.0
;C_i;Xbase_i;x1;x2;x3;x4;x5;bi
0;;;5;2;0.0;0.0;0.0;
1;0.0;3.0;7;3;1.0;0.0;0.0;1533.0
2;0.0;4.0;9;2;0.0;1.0;0.0;1044.0
3;0.0;5.0;7;1;0.0;0.0;1.0;371.0
